airport,month_year,freight_mail_value
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2006,"3,266k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2007,"3,356k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2007,"3,409k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2007,"3,461k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2007,"3,465k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2007,"3,497k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2007,"3,490k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2007,"3,558k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2007,"3,583k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2007,"3,564k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2007,"3,603k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2007,"3,596k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2007,"3,590k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2008,"3,529k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2008,"3,543k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2008,"3,292k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2008,"3,282k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2008,"3,217k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2008,"3,045k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2008,"2,801k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2008,"2,544k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2008,"2,337k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2008,"2,062k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2008,"1,742k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2008,"1,369k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2009,"1,196k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2009,"1,007k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2009,"1,003k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2009,883k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2009,792k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2009,829k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2009,931k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2009,"1,025k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2009,"1,126k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2009,"1,248k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2009,"1,248k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2009,"1,248k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2010,"1,083k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2010,924k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2010,777k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2010,673k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2010,557k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2010,479k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2010,377k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2010,283k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2010,182k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2010,60k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2010,60k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2010,58k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2011,57k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2011,55k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2011,57k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2011,48k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2011,46k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2011,21k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2011,27k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2011,38k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2011,39k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2011,39k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2011,42k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2011,44k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2012,46k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2012,45k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2012,42k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2012,39k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2012,38k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2012,36k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2012,29k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2012,17k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2012,14k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2012,12k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2012,"7,690"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2012,"3,622"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2013,37k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2013,37k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2013,37k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2013,37k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2013,37k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2013,57k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2013,57k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2013,57k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2013,57k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2013,57k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2013,57k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2013,57k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2014,20k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2014,20k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2014,20k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2014,20k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2014,20k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2014,45
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2014,104k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2014,104k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2014,104k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2014,104k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2014,104k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2014,104k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2015,104k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2015,103k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2015,103k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2015,103k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2015,103k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2015,103k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2015,-
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2015,-
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2015,-
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2015,-
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2015,-
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2015,-
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2016,-
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2016,-
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2016,27k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2016,27k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2016,27k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2016,27k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2016,105k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2016,128k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2016,128k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2016,128k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2016,128k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2016,128k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2017,128k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2017,128k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2017,102k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2017,102k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2017,102k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2017,102k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2017,23k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2017,278
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2017,278
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2017,278
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2017,347
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2017,347
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2018,347
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2018,347
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2018,347
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2018,"7,647"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2018,"7,647"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2018,36k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2018,36k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2018,36k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2018,36k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2018,44k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2018,82k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2018,99k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2019,224k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2019,250k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2019,250k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2019,243k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2019,250k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2019,229k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2019,229k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2019,229k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2019,229k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2019,221k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2019,183k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2019,167k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2020,41k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2020,248k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2020,248k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2020,247k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2020,240k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2020,246k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2020,246k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2020,246k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2020,246k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2020,246k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2020,245k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2020,245k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2021,244k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2021,27k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2021,34k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2021,34k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2021,34k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2021,21k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2021,21k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2021,21k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2021,39k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2021,88k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2021,88k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2021,110k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2022,110k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2022,96k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2022,89k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2022,89k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2022,89k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2022,89k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2022,89k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2022,89k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2022,72k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2022,22k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2022,22k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2022,103
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2023,83
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2023,375
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2023,375
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2023,303
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2023,303
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2023,303
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2023,303
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2023,303
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2023,301
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2023,301
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2023,"1,701"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2023,"1,701"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2024,29k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2024,28k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2024,29k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2024,29k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2024,45k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2024,45k
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2024,45k
"Mobile, AL: Mobile International (BFM)",December 2006,47m
"Mobile, AL: Mobile International (BFM)",January 2007,48m
"Mobile, AL: Mobile International (BFM)",February 2007,49m
"Mobile, AL: Mobile International (BFM)",March 2007,51m
"Mobile, AL: Mobile International (BFM)",April 2007,52m
"Mobile, AL: Mobile International (BFM)",May 2007,53m
"Mobile, AL: Mobile International (BFM)",June 2007,53m
"Mobile, AL: Mobile International (BFM)",July 2007,54m
"Mobile, AL: Mobile International (BFM)",August 2007,54m
"Mobile, AL: Mobile International (BFM)",September 2007,53m
"Mobile, AL: Mobile International (BFM)",October 2007,53m
"Mobile, AL: Mobile International (BFM)",November 2007,54m
"Mobile, AL: Mobile International (BFM)",December 2007,53m
"Mobile, AL: Mobile International (BFM)",January 2008,53m
"Mobile, AL: Mobile International (BFM)",February 2008,54m
"Mobile, AL: Mobile International (BFM)",March 2008,50m
"Mobile, AL: Mobile International (BFM)",April 2008,51m
"Mobile, AL: Mobile International (BFM)",May 2008,51m
"Mobile, AL: Mobile International (BFM)",June 2008,51m
"Mobile, AL: Mobile International (BFM)",July 2008,51m
"Mobile, AL: Mobile International (BFM)",August 2008,51m
"Mobile, AL: Mobile International (BFM)",September 2008,51m
"Mobile, AL: Mobile International (BFM)",October 2008,51m
"Mobile, AL: Mobile International (BFM)",November 2008,51m
"Mobile, AL: Mobile International (BFM)",December 2008,51m
"Mobile, AL: Mobile International (BFM)",January 2009,50m
"Mobile, AL: Mobile International (BFM)",February 2009,50m
"Mobile, AL: Mobile International (BFM)",March 2009,53m
"Mobile, AL: Mobile International (BFM)",April 2009,53m
"Mobile, AL: Mobile International (BFM)",May 2009,52m
"Mobile, AL: Mobile International (BFM)",June 2009,53m
"Mobile, AL: Mobile International (BFM)",July 2009,53m
"Mobile, AL: Mobile International (BFM)",August 2009,52m
"Mobile, AL: Mobile International (BFM)",September 2009,52m
"Mobile, AL: Mobile International (BFM)",October 2009,51m
"Mobile, AL: Mobile International (BFM)",November 2009,51m
"Mobile, AL: Mobile International (BFM)",December 2009,51m
"Mobile, AL: Mobile International (BFM)",January 2010,51m
"Mobile, AL: Mobile International (BFM)",February 2010,51m
"Mobile, AL: Mobile International (BFM)",March 2010,52m
"Mobile, AL: Mobile International (BFM)",April 2010,51m
"Mobile, AL: Mobile International (BFM)",May 2010,52m
"Mobile, AL: Mobile International (BFM)",June 2010,52m
"Mobile, AL: Mobile International (BFM)",July 2010,52m
"Mobile, AL: Mobile International (BFM)",August 2010,52m
"Mobile, AL: Mobile International (BFM)",September 2010,52m
"Mobile, AL: Mobile International (BFM)",October 2010,52m
"Mobile, AL: Mobile International (BFM)",November 2010,52m
"Mobile, AL: Mobile International (BFM)",December 2010,52m
"Mobile, AL: Mobile International (BFM)",January 2011,51m
"Mobile, AL: Mobile International (BFM)",February 2011,50m
"Mobile, AL: Mobile International (BFM)",March 2011,50m
"Mobile, AL: Mobile International (BFM)",April 2011,50m
"Mobile, AL: Mobile International (BFM)",May 2011,50m
"Mobile, AL: Mobile International (BFM)",June 2011,50m
"Mobile, AL: Mobile International (BFM)",July 2011,49m
"Mobile, AL: Mobile International (BFM)",August 2011,49m
"Mobile, AL: Mobile International (BFM)",September 2011,49m
"Mobile, AL: Mobile International (BFM)",October 2011,49m
"Mobile, AL: Mobile International (BFM)",November 2011,48m
"Mobile, AL: Mobile International (BFM)",December 2011,47m
"Mobile, AL: Mobile International (BFM)",January 2012,46m
"Mobile, AL: Mobile International (BFM)",February 2012,45m
"Mobile, AL: Mobile International (BFM)",March 2012,44m
"Mobile, AL: Mobile International (BFM)",April 2012,43m
"Mobile, AL: Mobile International (BFM)",May 2012,42m
"Mobile, AL: Mobile International (BFM)",June 2012,41m
"Mobile, AL: Mobile International (BFM)",July 2012,40m
"Mobile, AL: Mobile International (BFM)",August 2012,39m
"Mobile, AL: Mobile International (BFM)",September 2012,38m
"Mobile, AL: Mobile International (BFM)",October 2012,38m
"Mobile, AL: Mobile International (BFM)",November 2012,38m
"Mobile, AL: Mobile International (BFM)",December 2012,38m
"Mobile, AL: Mobile International (BFM)",January 2013,39m
"Mobile, AL: Mobile International (BFM)",February 2013,39m
"Mobile, AL: Mobile International (BFM)",March 2013,39m
"Mobile, AL: Mobile International (BFM)",April 2013,39m
"Mobile, AL: Mobile International (BFM)",May 2013,39m
"Mobile, AL: Mobile International (BFM)",June 2013,39m
"Mobile, AL: Mobile International (BFM)",July 2013,39m
"Mobile, AL: Mobile International (BFM)",August 2013,39m
"Mobile, AL: Mobile International (BFM)",September 2013,39m
"Mobile, AL: Mobile International (BFM)",October 2013,39m
"Mobile, AL: Mobile International (BFM)",November 2013,39m
"Mobile, AL: Mobile International (BFM)",December 2013,39m
"Mobile, AL: Mobile International (BFM)",January 2014,38m
"Mobile, AL: Mobile International (BFM)",February 2014,38m
"Mobile, AL: Mobile International (BFM)",March 2014,38m
"Mobile, AL: Mobile International (BFM)",April 2014,38m
"Mobile, AL: Mobile International (BFM)",May 2014,38m
"Mobile, AL: Mobile International (BFM)",June 2014,38m
"Mobile, AL: Mobile International (BFM)",July 2014,38m
"Mobile, AL: Mobile International (BFM)",August 2014,38m
"Mobile, AL: Mobile International (BFM)",September 2014,38m
"Mobile, AL: Mobile International (BFM)",October 2014,38m
"Mobile, AL: Mobile International (BFM)",November 2014,38m
"Mobile, AL: Mobile International (BFM)",December 2014,38m
"Mobile, AL: Mobile International (BFM)",January 2015,38m
"Mobile, AL: Mobile International (BFM)",February 2015,38m
"Mobile, AL: Mobile International (BFM)",March 2015,38m
"Mobile, AL: Mobile International (BFM)",April 2015,38m
"Mobile, AL: Mobile International (BFM)",May 2015,38m
"Mobile, AL: Mobile International (BFM)",June 2015,38m
"Mobile, AL: Mobile International (BFM)",July 2015,38m
"Mobile, AL: Mobile International (BFM)",August 2015,38m
"Mobile, AL: Mobile International (BFM)",September 2015,38m
"Mobile, AL: Mobile International (BFM)",October 2015,38m
"Mobile, AL: Mobile International (BFM)",November 2015,38m
"Mobile, AL: Mobile International (BFM)",December 2015,39m
"Mobile, AL: Mobile International (BFM)",January 2016,39m
"Mobile, AL: Mobile International (BFM)",February 2016,39m
"Mobile, AL: Mobile International (BFM)",March 2016,40m
"Mobile, AL: Mobile International (BFM)",April 2016,40m
"Mobile, AL: Mobile International (BFM)",May 2016,40m
"Mobile, AL: Mobile International (BFM)",June 2016,40m
"Mobile, AL: Mobile International (BFM)",July 2016,40m
"Mobile, AL: Mobile International (BFM)",August 2016,41m
"Mobile, AL: Mobile International (BFM)",September 2016,41m
"Mobile, AL: Mobile International (BFM)",October 2016,41m
"Mobile, AL: Mobile International (BFM)",November 2016,41m
"Mobile, AL: Mobile International (BFM)",December 2016,42m
"Mobile, AL: Mobile International (BFM)",January 2017,43m
"Mobile, AL: Mobile International (BFM)",February 2017,44m
"Mobile, AL: Mobile International (BFM)",March 2017,45m
"Mobile, AL: Mobile International (BFM)",April 2017,46m
"Mobile, AL: Mobile International (BFM)",May 2017,47m
"Mobile, AL: Mobile International (BFM)",June 2017,47m
"Mobile, AL: Mobile International (BFM)",July 2017,48m
"Mobile, AL: Mobile International (BFM)",August 2017,49m
"Mobile, AL: Mobile International (BFM)",September 2017,50m
"Mobile, AL: Mobile International (BFM)",October 2017,51m
"Mobile, AL: Mobile International (BFM)",November 2017,52m
"Mobile, AL: Mobile International (BFM)",December 2017,52m
"Mobile, AL: Mobile International (BFM)",January 2018,52m
"Mobile, AL: Mobile International (BFM)",February 2018,53m
"Mobile, AL: Mobile International (BFM)",March 2018,53m
"Mobile, AL: Mobile International (BFM)",April 2018,53m
"Mobile, AL: Mobile International (BFM)",May 2018,54m
"Mobile, AL: Mobile International (BFM)",June 2018,54m
"Mobile, AL: Mobile International (BFM)",July 2018,54m
"Mobile, AL: Mobile International (BFM)",August 2018,54m
"Mobile, AL: Mobile International (BFM)",September 2018,54m
"Mobile, AL: Mobile International (BFM)",October 2018,54m
"Mobile, AL: Mobile International (BFM)",November 2018,54m
"Mobile, AL: Mobile International (BFM)",December 2018,54m
"Mobile, AL: Mobile International (BFM)",January 2019,55m
"Mobile, AL: Mobile International (BFM)",February 2019,55m
"Mobile, AL: Mobile International (BFM)",March 2019,55m
"Mobile, AL: Mobile International (BFM)",April 2019,55m
"Mobile, AL: Mobile International (BFM)",May 2019,55m
"Mobile, AL: Mobile International (BFM)",June 2019,55m
"Mobile, AL: Mobile International (BFM)",July 2019,55m
"Mobile, AL: Mobile International (BFM)",August 2019,55m
"Mobile, AL: Mobile International (BFM)",September 2019,54m
"Mobile, AL: Mobile International (BFM)",October 2019,55m
"Mobile, AL: Mobile International (BFM)",November 2019,53m
"Mobile, AL: Mobile International (BFM)",December 2019,53m
"Mobile, AL: Mobile International (BFM)",January 2020,54m
"Mobile, AL: Mobile International (BFM)",February 2020,54m
"Mobile, AL: Mobile International (BFM)",March 2020,53m
"Mobile, AL: Mobile International (BFM)",April 2020,54m
"Mobile, AL: Mobile International (BFM)",May 2020,54m
"Mobile, AL: Mobile International (BFM)",June 2020,54m
"Mobile, AL: Mobile International (BFM)",July 2020,55m
"Mobile, AL: Mobile International (BFM)",August 2020,55m
"Mobile, AL: Mobile International (BFM)",September 2020,57m
"Mobile, AL: Mobile International (BFM)",October 2020,56m
"Mobile, AL: Mobile International (BFM)",November 2020,57m
"Mobile, AL: Mobile International (BFM)",December 2020,58m
"Mobile, AL: Mobile International (BFM)",January 2021,58m
"Mobile, AL: Mobile International (BFM)",February 2021,57m
"Mobile, AL: Mobile International (BFM)",March 2021,57m
"Mobile, AL: Mobile International (BFM)",April 2021,57m
"Mobile, AL: Mobile International (BFM)",May 2021,57m
"Mobile, AL: Mobile International (BFM)",June 2021,57m
"Mobile, AL: Mobile International (BFM)",July 2021,56m
"Mobile, AL: Mobile International (BFM)",August 2021,56m
"Mobile, AL: Mobile International (BFM)",September 2021,57m
"Mobile, AL: Mobile International (BFM)",October 2021,57m
"Mobile, AL: Mobile International (BFM)",November 2021,57m
"Mobile, AL: Mobile International (BFM)",December 2021,56m
"Mobile, AL: Mobile International (BFM)",January 2022,54m
"Mobile, AL: Mobile International (BFM)",February 2022,54m
"Mobile, AL: Mobile International (BFM)",March 2022,54m
"Mobile, AL: Mobile International (BFM)",April 2022,53m
"Mobile, AL: Mobile International (BFM)",May 2022,53m
"Mobile, AL: Mobile International (BFM)",June 2022,52m
"Mobile, AL: Mobile International (BFM)",July 2022,52m
"Mobile, AL: Mobile International (BFM)",August 2022,52m
"Mobile, AL: Mobile International (BFM)",September 2022,51m
"Mobile, AL: Mobile International (BFM)",October 2022,50m
"Mobile, AL: Mobile International (BFM)",November 2022,50m
"Mobile, AL: Mobile International (BFM)",December 2022,50m
"Mobile, AL: Mobile International (BFM)",January 2023,51m
"Mobile, AL: Mobile International (BFM)",February 2023,51m
"Mobile, AL: Mobile International (BFM)",March 2023,51m
"Mobile, AL: Mobile International (BFM)",April 2023,50m
"Mobile, AL: Mobile International (BFM)",May 2023,50m
"Mobile, AL: Mobile International (BFM)",June 2023,49m
"Mobile, AL: Mobile International (BFM)",July 2023,48m
"Mobile, AL: Mobile International (BFM)",August 2023,47m
"Mobile, AL: Mobile International (BFM)",September 2023,46m
"Mobile, AL: Mobile International (BFM)",October 2023,45m
"Mobile, AL: Mobile International (BFM)",November 2023,44m
"Mobile, AL: Mobile International (BFM)",December 2023,44m
"Mobile, AL: Mobile International (BFM)",January 2024,43m
"Mobile, AL: Mobile International (BFM)",February 2024,42m
