Airport Code,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter: Q2-2024),Year,Quarter
LAX,Los Angeles,CA,344.04,635.57,2000,Q1
ORD,Chicago-O'Hare,IL,409.28,756.09,2000,Q1
DEN,Denver,CO,443.67,819.62,2000,Q1
ATL,Atlanta,GA,352.06,650.39,2000,Q1
EWR,Newark,NJ,450.67,832.57,2000,Q1
BOS,Boston,MA,405.10,748.37,2000,Q1
SEA,Seattle,WA,324.24,598.99,2000,Q1
DFW,Dallas-DFW,TX,441.69,815.96,2000,Q1
MCO,Orlando,FL,296.76,548.24,2000,Q1
SFO,San Francisco,CA,453.19,837.20,2000,Q1
PHX,Phoenix,AZ,262.07,484.14,2000,Q1
LGA,New York-La Guardia,NY,380.82,703.52,2000,Q1
JFK,New York-JFK,NY,492.44,909.73,2000,Q1
LAS,Las Vegas,NV,215.51,398.12,2000,Q1
MSP,Minneapolis,MN,393.63,727.19,2000,Q1
IAH,Houston-Intercontinental,TX,410.82,758.94,2000,Q1
PHL,Philadelphia,PA,441.97,816.49,2000,Q1
FLL,Fort Lauderdale,FL,275.77,509.46,2000,Q1
SAN,San Diego,CA,286.26,528.83,2000,Q1
DTW,Detroit,MI,322.21,595.25,2000,Q1
DCA,Washington-Reagan National,DC,368.51,680.78,2000,Q1
TPA,Tampa,FL,298.49,551.43,2000,Q1
BWI,Baltimore,MD,287.02,530.23,2000,Q1
AUS,Austin,TX,337.95,624.32,2000,Q1
MIA,Miami,FL,372.93,688.94,2000,Q1
PDX,Portland,OR,292.50,540.36,2000,Q1
BNA,Nashville,TN,297.35,549.32,2000,Q1
CLT,Charlotte,NC,504.74,932.44,2000,Q1
SLC,Salt Lake City,UT,297.78,550.11,2000,Q1
RDU,Raleigh/Durham,NC,312.10,576.57,2000,Q1
SMF,Sacramento,CA,252.86,467.13,2000,Q1
HNL,Honolulu,HI,124.44,229.89,2000,Q1
MDW,Chicago-Midway,IL,221.57,409.33,2000,Q1
STL,St. Louis,MO,339.05,626.35,2000,Q1
SJC,San Jose,CA,288.96,533.83,2000,Q1
IAD,Washington-Dulles,DC,432.16,798.37,2000,Q1
MCI,Kansas City,MO,276.26,510.35,2000,Q1
DAL,Dallas-Love Field,TX,164.18,303.31,2000,Q1
IND,Indianapolis,IN,304.21,561.98,2000,Q1
CLE,Cleveland,OH,344.07,635.63,2000,Q1
SNA,Santa Ana,CA,359.46,664.05,2000,Q1
OAK,Oakland,CA,222.51,411.07,2000,Q1
SAT,San Antonio,TX,291.92,539.28,2000,Q1
MSY,New Orleans,LA,278.67,514.80,2000,Q1
PIT,Pittsburgh,PA,443.39,819.11,2000,Q1
SJU,San Juan,PR,339.42,627.03,2000,Q1
CVG,Cincinnati,OH,458.74,847.46,2000,Q1
CMH,Columbus,OH,309.14,571.09,2000,Q1
HOU,Houston-Hobby,TX,212.17,391.97,2000,Q1
RSW,Fort Myers,FL,337.99,624.39,2000,Q1
BDL,Hartford,CT,330.93,611.36,2000,Q1
PBI,West Palm Beach/Palm Beach,FL,361.15,667.18,2000,Q1
JAX,Jacksonville,FL,300.56,555.25,2000,Q1
ONT,Ontario,CA,242.98,448.87,2000,Q1
MKE,Milwaukee,WI,347.78,642.48,2000,Q1
BUR,Burbank,CA,178.04,328.91,2000,Q1
RIC,Richmond,VA,495.32,915.04,2000,Q1
CHS,Charleston,SC,482.19,890.78,2000,Q1
OMA,Omaha,NE,298.62,551.67,2000,Q1
BUF,Buffalo,NY,320.88,592.79,2000,Q1
MEM,Memphis,TN,385.14,711.50,2000,Q1
BOI,Boise,ID,263.43,486.66,2000,Q1
ABQ,Albuquerque,NM,262.65,485.21,2000,Q1
ORF,Norfolk,VA,392.79,725.62,2000,Q1
SDF,Louisville,KY,293.44,542.09,2000,Q1
ELP,El Paso,TX,252.27,466.03,2000,Q1
OKC,Oklahoma City,OK,295.60,546.08,2000,Q1
GRR,Grand Rapids,MI,409.00,755.58,2000,Q1
OGG,Kahului,HI,66.67,123.16,2000,Q1
ANC,Anchorage,AK,422.45,780.43,2000,Q1
GEG,Spokane,WA,238.96,441.45,2000,Q1
PVD,Providence,RI,301.72,557.39,2000,Q1
RNO,Reno,NV,208.89,385.90,2000,Q1
TUS,Tucson,AZ,285.30,527.06,2000,Q1
LGB,Long Beach,CA,344.28,636.02,2000,Q1
DSM,Des Moines,IA,408.05,753.82,2000,Q1
SYR,Syracuse,NY,396.73,732.91,2000,Q1
SRQ,Sarasota/Bradenton,FL,358.69,662.63,2000,Q1
TUL,Tulsa,OK,292.27,539.94,2000,Q1
ALB,Albany,NY,416.44,769.32,2000,Q1
BHM,Birmingham,AL,314.39,580.80,2000,Q1
SAV,Savannah,GA,346.47,640.06,2000,Q1
ROC,Rochester,NY,406.80,751.52,2000,Q1
HPN,White Plains,NY,607.71,1122.66,2000,Q1
KOA,Kona,HI,61.20,113.06,2000,Q1
TYS,Knoxville,TN,366.77,677.57,2000,Q1
GSP,Greenville-Spartanburg,SC,517.24,955.54,2000,Q1
PNS,Pensacola,FL,406.96,751.81,2000,Q1
LIH,Lihue,HI,50.73,93.71,2000,Q1
COS,Colorado Springs,CO,415.78,768.10,2000,Q1
MYR,Myrtle Beach,SC,286.70,529.64,2000,Q1
FAT,Fresno,CA,435.95,805.36,2000,Q1
LIT,Little Rock,AR,292.49,540.34,2000,Q1
PWM,Portland,ME,439.65,812.19,2000,Q1
MSN,Madison,WI,405.71,749.49,2000,Q1
AVL,Asheville,NC,446.77,825.36,2000,Q1
BZN,Bozeman,MT,466.25,861.35,2000,Q1
PSP,Palm Springs,CA,417.37,771.03,2000,Q1
XNA,Fayetteville,AR,425.47,786.00,2000,Q1
PIE,St. Petersburg,FL,190.95,352.76,2000,Q1
EUG,Eugene,OR,367.69,679.26,2000,Q1
ICT,Wichita,KS,427.49,789.73,2000,Q1
GSO,Greensboro/High Point,NC,396.37,732.24,2000,Q1
CID,Cedar Rapids/Iowa City,IA,435.51,804.55,2000,Q1
MDT,Harrisburg,PA,447.67,827.01,2000,Q1
HVN,New Haven,CT,389.38,719.32,2000,Q1
HSV,Huntsville,AL,468.97,866.36,2000,Q1
FSD,Sioux Falls,SD,386.87,714.70,2000,Q1
ISP,Islip,NY,219.59,405.67,2000,Q1
MHT,Manchester,NH,309.31,571.41,2000,Q1
BTV,Burlington,VT,444.81,821.73,2000,Q1
MAF,Midland/Odessa,TX,213.83,395.03,2000,Q1
VPS,Valparaiso,FL,360.59,666.15,2000,Q1
LEX,Lexington,KY,405.59,749.27,2000,Q1
JAN,Jackson/Vicksburg,MS,327.02,604.13,2000,Q1
ITO,Hilo,HI,47.25,87.29,2000,Q1
MFE,Mission/McAllen/Edinburg,TX,320.90,592.83,2000,Q1
ILM,Wilmington,NC,405.72,749.52,2000,Q1
SGF,Springfield,MO,463.66,856.56,2000,Q1
SBA,Santa Barbara,CA,401.85,742.38,2000,Q1
DAY,Dayton,OH,356.05,657.76,2000,Q1
CAE,Columbia,SC,487.36,900.33,2000,Q1
ATW,Appleton,WI,471.61,871.23,2000,Q1
FAR,Fargo,ND,455.01,840.57,2000,Q1
RDM,Bend/Redmond,OR,360.72,666.38,2000,Q1
LBB,Lubbock,TX,220.58,407.50,2000,Q1
ABE,Allentown/Bethlehem/Easton,PA,446.66,825.15,2000,Q1
MFR,Medford,OR,375.83,694.30,2000,Q1
CHA,Chattanooga,TN,426.21,787.37,2000,Q1
FAI,Fairbanks,AK,373.09,689.24,2000,Q1
HRL,Harlingen/San Benito,TX,202.90,374.83,2000,Q1
PSC,Pasco/Kennewick/Richland,WA,416.92,770.20,2000,Q1
SBN,South Bend,IN,377.22,696.87,2000,Q1
ACY,Atlantic City,NJ,212.28,392.16,2000,Q1
BQN,Aguadilla,PR,228.03,421.25,2000,Q1
FWA,Fort Wayne,IN,406.63,751.20,2000,Q1
MSO,Missoula,MT,427.30,789.38,2000,Q1
CAK,Akron,OH,290.91,537.42,2000,Q1
BIL,Billings,MT,422.84,781.14,2000,Q1
TLH,Tallahassee,FL,414.61,765.94,2000,Q1
PIA,Peoria,IL,387.08,715.08,2000,Q1
STT,Charlotte Amalie,VI,304.93,563.32,2000,Q1
AMA,Amarillo,TX,235.40,434.87,2000,Q1
BLI,Bellingham,WA,314.78,581.51,2000,Q1
BTR,Baton Rouge,LA,358.15,661.63,2000,Q1
FNT,Flint,MI,301.17,556.37,2000,Q1
FCA,Kalispell,MT,392.73,725.51,2000,Q1
ROA,Roanoke,VA,484.88,895.75,2000,Q1
CRP,Corpus Christi,TX,278.42,514.34,2000,Q1
BGR,Bangor,ME,360.87,666.66,2000,Q1
STS,Santa Rosa,CA,472.69,873.24,2000,Q1
GRB,Green Bay,WI,410.88,759.05,2000,Q1
CHO,Charlottesville,VA,522.93,966.05,2000,Q1
SBP,San Luis Obispo,CA,415.85,768.23,2000,Q1
SHV,Shreveport,LA,412.60,762.23,2000,Q1
TVC,Traverse City,MI,397.56,734.44,2000,Q1
RAP,Rapid City,SD,426.24,787.43,2000,Q1
MLI,Moline,IL,350.23,647.01,2000,Q1
AGS,Augusta,GA,511.54,945.00,2000,Q1
DAB,Daytona Beach,FL,407.33,752.49,2000,Q1
JAC,Jackson,WY,551.65,1019.10,2000,Q1
BIS,Bismarck/Mandan,ND,465.08,859.17,2000,Q1
GNV,Gainesville,FL,462.86,855.07,2000,Q1
IDA,Idaho Falls,ID,453.85,838.43,2000,Q1
EYW,Key West,FL,336.65,621.93,2000,Q1
GPT,Gulfport/Biloxi,MS,244.86,452.35,2000,Q1
JNU,Juneau,AK,353.26,652.61,2000,Q1
MOB,Mobile,AL,489.80,904.85,2000,Q1
GJT,Grand Junction,CO,413.32,763.56,2000,Q1
LFT,Lafayette,LA,369.87,683.29,2000,Q1
MRY,Monterey,CA,472.45,872.79,2000,Q1
MLB,Melbourne,FL,421.25,778.21,2000,Q1
TRI,Bristol/Johnson City/Kingsport,TN,484.00,894.14,2000,Q1
BRO,Brownsville,TX,381.34,704.48,2000,Q1
AVP,Scranton/Wilkes-Barre,PA,447.17,826.09,2000,Q1
BFL,Bakersfield,CA,394.55,728.89,2000,Q1
CRW,Charleston/Dunbar,WV,431.63,797.38,2000,Q1
FAY,Fayetteville,NC,434.29,802.29,2000,Q1
BMI,Bloomington/Normal,IL,300.89,555.85,2000,Q1
GTF,Great Falls,MT,409.08,755.73,2000,Q1
ASE,Aspen,CO,544.77,1006.39,2000,Q1
DRO,Durango,CO,462.99,855.32,2000,Q1
PSE,Ponce,PR,224.14,414.08,2000,Q1
MGM,Montgomery,AL,410.31,758.00,2000,Q1
RFD,Rockford,IL,271.87,502.25,2000,Q1
EVV,Evansville,IN,409.81,757.08,2000,Q1
MTJ,Montrose/Delta,CO,410.41,758.18,2000,Q1
STX,Christiansted,VI,288.34,532.67,2000,Q1
MOT,Minot,ND,422.53,780.58,2000,Q1
LRD,Laredo,TX,340.36,628.78,2000,Q1
OAJ,Jacksonville/Camp Lejeune,NC,386.13,713.34,2000,Q1
ORH,Worcester,MA,320.45,591.99,2000,Q1
SCE,State College,PA,512.22,946.26,2000,Q1
DLH,Duluth,MN,475.36,878.17,2000,Q1
SGU,St. George,UT,461.96,853.42,2000,Q1
ACV,Arcata/Eureka,CA,309.60,571.95,2000,Q1
HDN,Hayden,CO,450.78,832.75,2000,Q1
LAN,Lansing,MI,346.80,640.68,2000,Q1
LNK,Lincoln,NE,346.12,639.41,2000,Q1
SAF,Santa Fe,NM,510.60,943.27,2000,Q1
HTS,Ashland,WV,453.65,838.06,2000,Q1
EGE,Eagle,CO,492.19,909.26,2000,Q1
GFK,Grand Forks,ND,423.64,782.62,2000,Q1
AZO,Kalamazoo,MI,435.72,804.93,2000,Q1
COU,Columbia,MO,436.29,805.99,2000,Q1
LBE,Latrobe,PA,596.61,1102.16,2000,Q1
ELM,Elmira/Corning,NY,472.47,872.83,2000,Q1
SWF,Newburgh/Poughkeepsie,NY,410.76,758.83,2000,Q1
MLU,Monroe,LA,437.41,808.07,2000,Q1
BET,Bethel,AK,340.63,629.28,2000,Q1
KTN,Ketchikan,AK,398.99,737.08,2000,Q1
MBS,Saginaw/Bay City/Midland,MI,384.39,710.10,2000,Q1
ACK,Nantucket,MA,352.59,651.36,2000,Q1
AEX,Alexandria,LA,385.17,711.56,2000,Q1
RDD,Redding,CA,341.84,631.52,2000,Q1
LCH,Lake Charles,LA,373.47,689.94,2000,Q1
CPR,Casper,WY,462.35,854.14,2000,Q1
HLN,Helena,MT,470.60,869.37,2000,Q1
TOL,Toledo,OH,374.79,692.37,2000,Q1
ABI,Abilene,TX,391.06,722.43,2000,Q1
CWA,Mosinee,WI,442.42,817.32,2000,Q1
LYH,Lynchburg,VA,586.35,1083.22,2000,Q1
GUM,Guam,TT,707.11,1306.29,2000,Q1
RST,Rochester,MN,519.27,959.28,2000,Q1
SUN,Sun Valley/Hailey/Ketchum,ID,477.34,881.83,2000,Q1
PHF,Newport News/Williamsburg,VA,250.90,463.50,2000,Q1
YUM,Yuma,AZ,330.42,610.41,2000,Q1
GRI,Grand Island,NE,334.29,617.56,2000,Q1
CMI,Champaign/Urbana,IL,385.11,711.44,2000,Q1
SIT,Sitka,AK,316.99,585.60,2000,Q1
PUW,Pullman,WA,283.04,522.89,2000,Q1
ADQ,Kodiak,AK,454.47,839.57,2000,Q1
HHH,Hilton Head,SC,419.36,774.72,2000,Q1
FSM,Fort Smith,AR,396.05,731.65,2000,Q1
FLG,Flagstaff,AZ,422.76,781.00,2000,Q1
CLL,College Station/Bryan,TX,376.86,696.21,2000,Q1
TYR,Tyler,TX,409.12,755.80,2000,Q1
SPI,Springfield,IL,444.86,821.82,2000,Q1
ITH,Ithaca/Cortland,NY,454.02,838.75,2000,Q1
MVY,Martha's Vineyard,MA,402.03,742.69,2000,Q1
EWN,New Bern/Morehead/Beaufort,NC,365.33,674.91,2000,Q1
ERI,Erie,PA,386.43,713.88,2000,Q1
SBY,Salisbury,MD,334.90,618.68,2000,Q1
ACT,Waco,TX,398.57,736.31,2000,Q1
SJT,San Angelo,TX,424.95,785.04,2000,Q1
MHK,Manhattan/Ft. Riley,KS,350.24,647.02,2000,Q1
CSG,Columbus,GA,399.96,738.87,2000,Q1
TXK,Texarkana,AR,427.01,788.85,2000,Q1
CKB,Clarksburg/Fairmont,WV,571.36,1055.52,2000,Q1
LAW,Lawton/Fort Sill,OK,343.98,635.45,2000,Q1
BGM,Binghamton,NY,482.87,892.05,2000,Q1
ROW,Roswell,NM,581.34,1073.95,2000,Q1
VLD,Valdosta,GA,471.84,871.67,2000,Q1
HGR,Hagerstown,MD,463.77,856.76,2000,Q1
OME,Nome,AK,439.40,811.74,2000,Q1
LSE,La Crosse,WI,470.47,869.13,2000,Q1
MQT,Marquette,MI,391.76,723.73,2000,Q1
BPT,Beaumont/Port Arthur,TX,345.69,638.61,2000,Q1
GGG,Longview,TX,409.12,755.79,2000,Q1
OTZ,Kotzebue,AK,414.29,765.35,2000,Q1
GTR,Columbus,MS,497.29,918.68,2000,Q1
PPG,Pago Pago,TT,447.87,827.39,2000,Q1
LWS,Lewiston,ID,289.84,535.44,2000,Q1
BRW,Barrow,AK,487.41,900.43,2000,Q1
PGV,Greenville,NC,417.49,771.26,2000,Q1
ABY,Albany,GA,551.93,1019.62,2000,Q1
COD,Cody,WY,465.52,859.98,2000,Q1
DHN,Dothan,AL,484.92,895.83,2000,Q1
STC,St. Cloud,MN,458.54,847.10,2000,Q1
SPS,Wichita Falls,TX,331.40,612.22,2000,Q1
GUC,Gunnison,CO,428.61,791.81,2000,Q1
GCC,Gillette,WY,510.10,942.35,2000,Q1
BJI,Bemidji,MN,386.33,713.69,2000,Q1
EAT,Wenatchee,WA,272.43,503.27,2000,Q1
SCC,Deadhorse,AK,346.31,639.76,2000,Q1
DIK,Dickinson,ND,478.49,883.94,2000,Q1
CIU,Sault Ste. Marie,MI,383.76,708.95,2000,Q1
SHR,Sheridan,WY,513.01,947.72,2000,Q1
GCK,Garden City,KS,447.45,826.60,2000,Q1
BQK,Brunswick,GA,408.00,753.73,2000,Q1
ART,Watertown,NY,513.00,947.70,2000,Q1
ABR,Aberdeen,SD,515.67,952.63,2000,Q1
ALW,Walla Walla,WA,283.29,523.34,2000,Q1
DLG,Dillingham,AK,346.16,639.49,2000,Q1
FLO,Florence,SC,570.64,1054.19,2000,Q1
HOB,Hobbs,NM,677.00,1250.67,2000,Q1
DBQ,Dubuque,IA,352.53,651.26,2000,Q1
YKM,Yakima,WA,300.08,554.36,2000,Q1
RHI,Rhinelander,WI,422.51,780.54,2000,Q1
TWF,Twin Falls,ID,431.94,797.96,2000,Q1
PLN,Pellston,MI,443.82,819.90,2000,Q1
IMT,Iron Mountain/Kingsfd,MI,466.95,862.62,2000,Q1
EAU,Eau Claire,WI,476.22,879.76,2000,Q1
SPN,Saipan,TT,344.13,635.73,2000,Q1
PQI,Presque Isle/Houlton,ME,379.99,701.98,2000,Q1
PIH,Pocatello,ID,428.07,790.80,2000,Q1
SUX,Sioux City,IA,389.02,718.66,2000,Q1
PSG,Petersburg,AK,310.01,572.70,2000,Q1
CMX,Hancock/Houghton,MI,431.58,797.29,2000,Q1
RKS,Rock Springs,WY,593.67,1096.74,2000,Q1
AKN,King Salmon,AK,369.37,682.37,2000,Q1
LAR,Laramie,WY,515.08,951.55,2000,Q1
BRD,Brainerd,MN,485.23,896.40,2000,Q1
RIW,Riverton/Lander,WY,497.87,919.75,2000,Q1
BTM,Butte,MT,429.07,792.65,2000,Q1
HYA,Hyannis,MA,473.36,874.48,2000,Q1
CYS,Cheyenne,WY,549.88,1015.83,2000,Q1
ESC,Escanaba,MI,371.51,686.31,2000,Q1
SMX,Santa Maria,CA,501.04,925.60,2000,Q1
LBF,North Platte,NE,499.00,921.84,2000,Q1
HIB,Hibbing,MN,396.78,733.01,2000,Q1
VEL,Vernal,UT,519.09,958.96,2000,Q1
CDV,Cordova,AK,241.07,445.34,2000,Q1
EAR,Kearney,NE,417.02,770.40,2000,Q1
EKO,Elko,NV,223.30,412.53,2000,Q1
ALO,Waterloo,IA,429.25,792.98,2000,Q1
MEI,Meridian,MS,426.13,787.23,2000,Q1
OTH,North Bend/Coos Bay,OR,316.57,584.83,2000,Q1
WRG,Wrangell,AK,311.25,575.00,2000,Q1
CDC,Cedar City,UT,383.44,708.36,2000,Q1
JST,Johnstown,PA,521.23,962.90,2000,Q1
PIR,Pierre,SD,482.89,892.08,2000,Q1
VCT,Victoria,TX,375.63,693.92,2000,Q1
PRC,Prescott,AZ,400.87,740.55,2000,Q1
BFF,Scottsbluff,NE,537.25,992.50,2000,Q1
DEC,Decatur,IL,513.99,949.54,2000,Q1
INL,International Falls,MN,361.90,668.56,2000,Q1
APN,Alpena,MI,422.25,780.06,2000,Q1
SLN,Salina,KS,427.63,790.00,2000,Q1
OWB,Owensboro,KY,369.19,682.03,2000,Q1
ATY,Watertown,SD,503.76,930.63,2000,Q1
PAH,Paducah,KY,403.84,746.04,2000,Q1
JLN,Joplin,MO,408.64,754.91,2000,Q1
PIB,Hattiesburg/Laurel,MS,347.38,641.75,2000,Q1
JMS,Jamestown,ND,322.53,595.84,2000,Q1
LBL,Liberal,KS,478.91,884.73,2000,Q1
SHD,Staunton,VA,450.60,832.42,2000,Q1
ALS,Alamosa,CO,585.00,1080.71,2000,Q1
YAK,Yakutat,AK,242.81,448.56,2000,Q1
HYS,Hays,KS,531.04,981.03,2000,Q1
CVN,Clovis,NM,518.00,956.94,2000,Q1
DVL,Devils Lake,ND,425.58,786.21,2000,Q1
DDC,Dodge City,KS,529.24,977.70,2000,Q1
BKW,Beckley,WV,297.09,548.84,2000,Q1
OGS,Ogdensburg,NY,320.80,592.64,2000,Q1
MWA,Marion/Herrin,IL,409.49,756.48,2000,Q1
IPL,El Centro,CA,323.63,597.86,2000,Q1
LWB,Lewisburg,WV,393.23,726.44,2000,Q1
LEB,Lebanon-Hanover,NH,537.51,992.99,2000,Q1
FOD,Fort Dodge,IA,392.53,725.16,2000,Q1
DUT,Unalaska,AK,608.99,1125.03,2000,Q1
PUB,Pueblo,CO,616.82,1139.50,2000,Q1
CGI,Cape Girardeau,MO,329.46,608.64,2000,Q1
MKG,Muskegon,MI,404.16,746.64,2000,Q1
TBN,Fort Leonard Wood,MO,309.44,571.64,2000,Q1
MBL,Manistee/Ludington,MI,433.70,801.21,2000,Q1
MCW,Mason City,IA,474.89,877.29,2000,Q1
AUG,Augusta/Waterville,ME,331.68,612.74,2000,Q1
TEX,Telluride,CO,568.49,1050.22,2000,Q1
BHB,Bar Harbor,ME,355.85,657.39,2000,Q1
PKB,Parkersburg,WV,585.92,1082.42,2000,Q1
IWD,Ironwood,MI,439.67,812.23,2000,Q1
CEZ,Cortez,CO,589.51,1089.05,2000,Q1
UIN,Quincy,IL,445.95,823.83,2000,Q1
RKD,Rockland,ME,306.20,565.67,2000,Q1
DUJ,DuBois,PA,482.01,890.45,2000,Q1
MGW,Morgantown,WV,595.46,1100.03,2000,Q1
RUT,Rutland,VT,367.29,678.53,2000,Q1
ENA,Kenai,AK,479.63,886.06,2000,Q1
TUP,Tupelo,MS,476.29,879.89,2000,Q1
LNS,Lancaster,PA,459.63,849.10,2000,Q1
PVC,Provincetown,MA,415.27,767.16,2000,Q1
BRL,Burlington,IA,500.32,924.28,2000,Q1
AIA,Alliance,NE,462.35,854.13,2000,Q1
AOO,Altoona,PA,560.07,1034.66,2000,Q1
SDY,Sidney,MT,751.20,1387.75,2000,Q1
TVF,Thief River Falls,MN,366.82,677.66,2000,Q1
HOM,Homer,AK,538.38,994.59,2000,Q1
MSL,Muscle Shoals,AL,355.31,656.38,2000,Q1
GLH,Greenville,MS,462.04,853.55,2000,Q1
BFD,Bradford,PA,618.65,1142.88,2000,Q1
SLK,Saranac Lake/Lake Placid,NY,401.83,742.34,2000,Q1
MCK,McCook,NE,450.79,832.77,2000,Q1
CDR,Chadron,NE,485.52,896.94,2000,Q1
ADK,Adak Island,AK,626.41,1157.22,2000,Q1
MSS,Massena,NY,483.94,894.02,2000,Q1
MAZ,Mayaguez,PR,340.07,628.23,2000,Q1
ELD,El Dorado,AR,210.00,387.95,2000,Q1
HRO,Harrison,AR,617.75,1141.22,2000,Q1
CNM,Carlsbad,NM,850.50,1571.19,2000,Q1
HOT,Hot Springs,AR,172.00,317.75,2000,Q1
MKK,Hoolehua,HI,39.71,73.36,2000,Q1
MKL,Jackson,TN,587.12,1084.63,2000,Q1
VDZ,Valdez,AK,517.50,956.02,2000,Q1
HVR,Havre,MT,372.67,688.46,2000,Q1
OLF,Wolf Point,MT,823.80,1521.87,2000,Q1
GDV,Glendive,MT,550.75,1017.44,2000,Q1
PDT,Pendleton,OR,264.26,488.20,2000,Q1
GGW,Glasgow,MT,525.82,971.38,2000,Q1
CDB,Cold Bay,AK,497.89,919.79,2000,Q1
JBR,Jonesboro,AR,469.00,866.42,2000,Q1
MCN,Macon,GA,524.43,968.81,2000,Q1
LNY,Lanai,HI,44.33,81.89,2000,Q1
JHM,Kapalua,HI,110.00,203.21,2000,Q1
SDP,Sandpoint,AK,538.76,995.29,2000,Q1
UNK,Unalakleet,AK,571.50,1055.78,2000,Q1
FRD,Friday Harbor,WA,377.00,696.46,2000,Q1
HNH,Hoonah,AK,448.50,828.55,2000,Q1
HNS,Haines,AK,324.80,600.03,2000,Q1
ESD,Eastsound,WA,287.17,530.50,2000,Q1
ANI,Aniak,AK,703.67,1299.94,2000,Q1
CEC,Crescent City,CA,311.89,576.18,2000,Q1
FNL,Fort Collins/Loveland,CO,73.00,134.86,2000,Q1
ABL,Ambler,AK,833.00,1538.86,2000,Q1
AGN,Angoon,AK,548.50,1013.29,2000,Q1
AHN,Athens,GA,399.63,738.27,2000,Q1
AIN,Wainwright,AK,725.50,1340.27,2000,Q1
AKB,Atka,AK,786.00,1452.04,2000,Q1
AKP,Anaktuvuk Pass,AK,627.50,1159.23,2000,Q1
ALM,Alamogordo,NM,471.63,871.27,2000,Q1
APF,Naples,FL,355.31,656.39,2000,Q1
AUK,Alakanuk,AK,298.00,550.52,2000,Q1
BEH,Benton Harbor/St. Joseph,MI,335.60,619.98,2000,Q1
BKC,Buckland,AK,526.25,972.18,2000,Q1
BKX,Brookings,SD,553.67,1022.83,2000,Q1
BLF,Princeton/Bluefield,WV,282.89,522.61,2000,Q1
BTI,Barter Island,AK,532.75,984.19,2000,Q1
BWD,Brownwood,TX,442.70,817.83,2000,Q1
CBE,Cumberland,MD,511.34,944.64,2000,Q1
CGA,Craig,AK,458.00,846.10,2000,Q1
CHI,Chicago,IL,234.95,434.04,2000,Q1
CIC,Chico,CA,377.86,698.06,2000,Q1
CLD,Carlsbad,CA,404.25,746.80,2000,Q1
CLM,Port Angeles,WA,263.56,486.89,2000,Q1
CVO,Corvallis,OR,325.13,600.64,2000,Q1
CYF,Chefornak,AK,240.00,443.37,2000,Q1
DET,Detroit,MI,147.98,273.38,2000,Q1
DTT,Detroit,MI,183.29,338.60,2000,Q1
EFD,Houston,TX,460.43,850.59,2000,Q1
ELI,Elim,AK,675.00,1246.98,2000,Q1
EMK,Emmonak,AK,663.00,1224.81,2000,Q1
FHU,Fort Huachuca,AZ,343.66,634.87,2000,Q1
FKL,Franklin/Oil City,PA,416.68,769.77,2000,Q1
FMN,Farmington,NM,493.49,911.66,2000,Q1
FOE,Topeka,KS,139.60,257.89,2000,Q1
FYU,Fort Yukon,AK,684.40,1264.34,2000,Q1
GBD,Great Bend,KS,513.26,948.19,2000,Q1
GLD,Goodland,KS,331.13,611.71,2000,Q1
GNU,Goodnews Bay,AK,503.50,930.15,2000,Q1
GON,New London/Groton,CT,490.21,905.61,2000,Q1
GPZ,Grand Rapids,MN,437.64,808.48,2000,Q1
GUP,Gallup,NM,193.00,356.54,2000,Q1
GYY,Gary,IN,117.00,216.14,2000,Q1
HII,Lake Havasu City,AZ,477.67,882.44,2000,Q1
HKY,Hickory,NC,659.70,1218.72,2000,Q1
HON,Huron,SD,364.52,673.40,2000,Q1
HPB,Hooper Bay,AK,538.80,995.37,2000,Q1
HYL,Hollis,AK,566.50,1046.54,2000,Q1
IAN,Kiana,AK,548.50,1013.29,2000,Q1
IFP,Bullhead City,AZ,244.57,451.80,2000,Q1
ILE,Killeen,TX,395.91,731.40,2000,Q1
ILI,Iliamna,AK,404.00,746.34,2000,Q1
INT,Winston-Salem,NC,339.50,627.18,2000,Q1
IPT,Williamsport,PA,463.84,856.89,2000,Q1
ISN,Williston,ND,565.11,1043.97,2000,Q1
ISO,Kinston,NC,130.00,240.16,2000,Q1
IYK,Inyokern,CA,452.98,836.82,2000,Q1
JHW,Jamestown,NY,474.44,876.46,2000,Q1
JON,Johnston Island,TT,378.26,698.79,2000,Q1
KAE,Kake,AK,461.00,851.64,2000,Q1
KCG,Chignik Bay,AK,600.00,1108.43,2000,Q1
KCQ,Chignik,AK,1103.00,2037.66,2000,Q1
KEK,Ekwok,AK,244.00,450.76,2000,Q1
KFP,False Pass,AK,668.00,1234.05,2000,Q1
KGK,Koliganek,AK,362.00,668.75,2000,Q1
KGX,Grayling,AK,941.00,1738.38,2000,Q1
KKH,Kongiganak,AK,329.33,608.40,2000,Q1
KLG,Kalskag,AK,259.00,478.47,2000,Q1
KLW,Klawock,AK,551.38,1018.60,2000,Q1
KMO,Manokotak,AK,204.00,376.86,2000,Q1
KPN,Kipnuk,AK,397.50,734.33,2000,Q1
KQA,Akutan,AK,684.28,1264.12,2000,Q1
KVC,King Cove,AK,645.19,1191.91,2000,Q1
KVL,Kivalina,AK,652.50,1205.41,2000,Q1
KWK,Kwigillingok,AK,510.00,942.16,2000,Q1
KWT,Kwethluk,AK,373.00,689.07,2000,Q1
