Year,Month,Revenue Passenger Miles,Airport Name
2008,9,3588338,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,10,3786924,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,11,3425301,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,12,3638078,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2009,1,3420874,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2009,2,2923068,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2009,3,3542377,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2009,4,3567346,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2009,5,3638298,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2009,6,4101711,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2009,7,4530680,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2009,8,4283823,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2009,9,3496058,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2009,10,3657752,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2009,11,3224324,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2009,12,3377324,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2010,1,3220463,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2010,2,2859738,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2010,3,3657152,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2010,4,3554349,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2010,5,3766705,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2010,6,4096275,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2010,7,4409032,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2010,8,4213396,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2010,9,3608064,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2010,10,3824626,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2010,11,3372891,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2010,12,3456694,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2011,1,3177227,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2011,2,2927596,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2011,3,3724872,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2011,4,3636042,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2011,5,3869929,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2011,6,4124405,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2011,7,4481380,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2011,8,4243806,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2011,9,3597193,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2011,10,3753859,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2011,11,3365850,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2011,12,3380565,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2012,1,3250546,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2012,2,3034245,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2012,3,3760539,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2012,4,3704123,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2012,5,3868690,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2012,6,4148299,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2012,7,4392102,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2012,8,4192373,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2012,9,3632958,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2012,10,3842306,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2012,11,3486580,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2012,12,3529070,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2013,1,3343668,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2013,2,3012717,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2013,3,3783020,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
