state,year,state_year,pop,pop_density,pop_msa,white,black,unemploy,education,eth_percap,income,poverty,fs_s,handgun,dm_handgun,firearm_suicide,dm_firearm,WI_treated
Rhode Island,2013,Rhode Island 2013,1051511,1016.94,1,0.868444,0.084141,9.475,85.9,2.168211269,46205,9.3,0.257575758,,,3.233442161,0.782918822,0
Rhode Island,2014,Rhode Island 2014,1055173,1020.48,1,0.863885,0.086767,7.766666667,85.8,2.023417013,48143,11.3,0.17699115,,,1.895423784,-0.555099556,0
Rhode Island,2015,Rhode Island 2015,1056298,1021.56,1,0.86054,0.088777,6.05,87.7,2.136446344,49901,11.8,0.31496063,,,3.786810162,1.336286823,0
Rhode Island,2016,Rhode Island 2016,1056426,1021.69,1,0.857693,0.091306,5.2,88.5,2.181328366,50604,11.4,0.277777778,,,3.313057422,0.862534083,0
Rhode Island,2017,Rhode Island 2017,1059639,1024.8,1,0.854282,0.093088,4.483333333,88.3,2.206992193,52600,11.3,0.255813953,,,3.114268161,0.663744822,0
Rhode Island,2018,Rhode Island 2018,1057315,1022.55,1,0.852835,0.094519,4.083333333,89.1,2.243720178,54377,8.9,0.216981132,,,2.175321451,-0.275201889,0
Rhode Island,2019,Rhode Island 2019,1059361,1024.53,1,0.849933,0.096255,3.6,89.3,2.198616902,56426,9.2,0.268292683,,,3.115085415,0.664562076,0
Rhode Island,2020,Rhode Island 2020,,,,,,,,,,,,,,2.83789,0.38736666,0
Wisconsin,1999,Wisconsin 1999,5332666,98.46497,0.678620571,0.9141,0.059113,3.083333333,86.8,2.187364631,28020,8.6,0.504215852,2.29,-0.69625,5.60695157,-0.370776602,0
Wisconsin,2000,Wisconsin 2000,5363675,99.03754,0.676209502,0.911899,0.060052,3.383333333,86.7,2.226341641,29648,9.3,0.515254237,2.72,-0.26625,5.667755783,-0.309972389,0
Wisconsin,2001,Wisconsin 2001,5406835,99.83447,0.678363341,0.909609,0.061321,4.425,87,2.225060132,30911,7.9,0.496087637,2.76,-0.22625,5.862949396,-0.114778776,0
Wisconsin,2002,Wisconsin 2002,5445162,100.54215,0.678636462,0.907675,0.062349,5.316666667,86.8,2.287099264,31510,8.6,0.49122807,2.5,-0.48625,5.656397367,-0.321330805,0
Wisconsin,2003,Wisconsin 2003,5479203,101.1707,0.722733352,0.905929,0.063212,5.625,88.6,2.291809776,32172,9.8,0.479134467,2.65,-0.33625,5.657757159,-0.319971013,0
Wisconsin,2004,Wisconsin 2004,5514026,101.81369,0.722904194,0.904343,0.063973,4.983333333,88.8,2.320520796,33421,12.4,0.465256798,2.76,-0.22625,5.585755308,-0.391972864,0
Wisconsin,2005,Wisconsin 2005,5546166,102.40714,0.723032997,0.902574,0.064868,4.75,90.4,2.409791557,34434,10.2,0.469673406,2.9,-0.08625,5.445203047,-0.532525125,0
Wisconsin,2006,Wisconsin 2006,5577655,102.98857,0.722903746,0.900758,0.065822,4.65,88.4,2.443288801,36332,10.1,0.446268657,2.55,-0.43625,5.360675768,-0.617052404,0
Wisconsin,2007,Wisconsin 2007,5610775,103.60011,0.723655751,0.89889,0.066784,4.825,89,2.453694008,37778,11,0.463648834,3.15,0.16375,6.024123227,0.046395055,0
Wisconsin,2008,Wisconsin 2008,5640996,104.15813,0.728468735,0.89704,0.067718,4.95,89.6,2.463056524,38910,9.8,0.462987887,3.01,0.02375,6.098213862,0.12048569,0
Wisconsin,2009,Wisconsin 2009,5669264,104.68008,0.729810953,0.895215,0.068671,8.966666667,89.8,2.428105659,38070,10.8,0.476519337,3.35,0.36375,6.085446012,0.10771784,0
Wisconsin,2010,Wisconsin 2010,5686986,105.00731,0.731931994,0.893841,0.069365,8.508333333,90.1,2.408821474,38996,10.1,0.47667087,3.32,0.33375,6.646754537,0.669026365,0
Wisconsin,2011,Wisconsin 2011,5711767,105.46488,0.728343961,0.892301,0.069986,7.566666667,90.4,2.449226483,41170,13.1,0.47114094,3.17,0.18375,6.145208654,0.167480482,0
Wisconsin,2012,Wisconsin 2012,5726398,105.73503,0.735789933,0.890879,0.070507,6.933333333,90.7,2.481424274,43027,11.4,0.481327801,3.28,0.29375,6.077118635,0.099390463,0
Wisconsin,2013,Wisconsin 2013,5742713,106.03628,0.737717173,0.889464,0.070975,6.683333333,90.9,2.4674834,43176,13.5,0.514117647,4.02,1.03375,7.609643735,1.631915563,0
Wisconsin,2014,Wisconsin 2014,5757564,106.3105,0.738431566,0.887526,0.071469,5.341666667,91.4,2.457979972,44930,10.9,0.457737321,3.35,0.36375,6.113696695,0.135968523,0
Wisconsin,2015,Wisconsin 2015,5771337,106.56481,0.739634854,0.88562,0.072016,4.441666667,91.4,2.464739453,46843,11.4,0.483466363,4.37,1.38375,7.346651218,1.368923046,1
Wisconsin,2016,Wisconsin 2016,5778708,106.70091,0.740902984,0.884614,0.072195,3.908333333,91.9,2.472520847,47577,10.7,0.525404157,5.24,2.25375,7.873732329,1.896004157,1
Wisconsin,2017,Wisconsin 2017,5795483,107.01065,0.741421379,0.882964,0.072843,3.283333333,92.4,2.479991055,49239,9.2,0.469762419,5.16,2.17375,7.505845501,1.528117329,1
Wisconsin,2018,Wisconsin 2018,5813568,107.34458,0.747165768,0.880939,0.073453,3.016666667,92.1,2.438745019,51611,8.6,0.472972973,4.66,1.67375,7.224479012,1.24675084,1
Wisconsin,2019,Wisconsin 2019,5822434,107.50829,0.747270987,0.880535,0.073771,3.266666667,92.8,2.457403381,53207,8.4,0.505325444,5.1,2.11375,7.333702709,1.355974537,1
Wisconsin,2020,Wisconsin 2020,5832655,,,,,,,,,,,4.95,1.96375,7.57802,1.600291828,1
